U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
33,90V;29,10V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:31.680
33,90V;29,10V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:32.679
33,90V;29,10V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:33.679
33,90V;29,10V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:34.680
33,90V;29,11V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:35.680
33,90V;29,11V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:36.680
33,90V;29,11V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:37.679
33,90V;29,11V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:38.679
33,90V;29,11V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:39.680
33,90V;29,12V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:40.679
33,90V;29,12V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:41.679
33,90V;29,12V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:42.680
33,90V;29,12V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:43.679
33,90V;29,12V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:44.680
33,90V;29,13V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:45.679
33,90V;29,13V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:46.679
33,90V;29,13V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:47.679
33,90V;29,13V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:48.679
33,90V;29,13V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:49.680
33,90V;29,14V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:50.679
33,90V;29,14V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:51.680
33,90V;29,14V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:52.679
33,90V;29,14V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:53.680
33,90V;29,14V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:54.680
33,90V;29,14V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:55.680
33,90V;29,14V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:56.679
33,90V;29,15V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:57.679
33,90V;29,15V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:58.679
33,90V;29,15V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:23:59.679
33,90V;29,15V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:24:00.679
33,90V;29,15V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:24:01.679
33,90V;29,15V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:24:02.679
33,90V;29,16V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:24:03.680
33,90V;29,16V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:24:04.679
33,90V;29,16V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:24:05.679
33,90V;29,16V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:24:06.679
33,90V;29,17V;0,50A;0,50A;1508W;15W;N/A;N/A;Off;On;CC;None;27.03.2023 13:24:07.679
